name,uid,code,parent,openingDate,shortName
Nigeria,NIG12345678,NG,,18/08/2026,Nigeria
Abia,D4xxyXLfx89,NG_ABIA,NIG12345678,18/08/2026,Abia
Adamawa,zF6h9yJgBlu,NG_ADAMAWA,NIG12345678,18/08/2026,Adamawa
Akwa-Ibom,d7lOmr9TU0k,NG_AKWA-IBOM,NIG12345678,18/08/2026,Akwa-Ibom
Anambra,d6NZpc7JEvm,NG_ANAMBRA,NIG12345678,18/08/2026,Anambra
Bauchi,s15mQ3VoSlX,NG_BAUCHI,NIG12345678,18/08/2026,Bauchi
Bayelsa,g9uQ0hoY2UN,NG_BAYELSA,NIG12345678,18/08/2026,Bayelsa
Benue,U9ERPdjpFrk,NG_BENUE,NIG12345678,18/08/2026,Benue
Borno,sj5qXtj2m4Q,NG_BORNO,NIG12345678,18/08/2026,Borno
Cross River,C6ytgqvJYXk,NG_CROSS_RIVER,NIG12345678,18/08/2026,Cross River
Delta,gGbuqVLTwc2,NG_DELTA,NIG12345678,18/08/2026,Delta
Ebonyi,MTYtoqcvcoD,NG_EBONYI,NIG12345678,18/08/2026,Ebonyi
Edo,isg3gQiMjab,NG_EDO,NIG12345678,18/08/2026,Edo
Ekiti,MV7MBoW7Wwq,NG_EKITI,NIG12345678,18/08/2026,Ekiti
Enugu,GrgvBROFkTy,NG_ENUGU,NIG12345678,18/08/2026,Enugu
FCT,p0uw81LUh3u,NG_FCT,NIG12345678,18/08/2026,FCT
Gombe,AqGh0iISN4V,NG_GOMBE,NIG12345678,18/08/2026,Gombe
Imo,RwPRv0NhqI6,NG_IMO,NIG12345678,18/08/2026,Imo
Jigawa,qrrvq9Ts8l8,NG_JIGAWA,NIG12345678,18/08/2026,Jigawa
Kaduna,zxhnQttUPB7,NG_KADUNA,NIG12345678,18/08/2026,Kaduna
Kano,lqKHYgVYyNv,NG_KANO,NIG12345678,18/08/2026,Kano
Katsina,QCZD2QVbVJ2,NG_KATSINA,NIG12345678,18/08/2026,Katsina
Kebbi,R0T2E5HyrKv,NG_KEBBI,NIG12345678,18/08/2026,Kebbi
Kogi,aAeNtldBdXH,NG_KOGI,NIG12345678,18/08/2026,Kogi
Kwara,wloFq01lfEK,NG_KWARA,NIG12345678,18/08/2026,Kwara
Lagos,bJDPoXUaol5,NG_LAGOS,NIG12345678,18/08/2026,Lagos
Nasarawa,xZCESnubIwl,NG_NASARAWA,NIG12345678,18/08/2026,Nasarawa
Niger,WS4QTIxwOpw,NG_NIGER,NIG12345678,18/08/2026,Niger
Ogun,Z3Vnd2WEXUy,NG_OGUN,NIG12345678,18/08/2026,Ogun
Ondo,YfOxePAET8U,NG_ONDO,NIG12345678,18/08/2026,Ondo
Osun,o4wKsTBEbGV,NG_OSUN,NIG12345678,18/08/2026,Osun
Oyo,I4DZp4K4xjn,NG_OYO,NIG12345678,18/08/2026,Oyo
Plateau,gba3dnwijXY,NG_PLATEAU,NIG12345678,18/08/2026,Plateau
Rivers,AHcgA3gLmod,NG_RIVERS,NIG12345678,18/08/2026,Rivers
Sokoto,QpYJHFIQZ7v,NG_SOKOTO,NIG12345678,18/08/2026,Sokoto
Taraba,wsefnBjIZTY,NG_TARABA,NIG12345678,18/08/2026,Taraba
Yobe,Hhg5K9lo2zW,NG_YOBE,NIG12345678,18/08/2026,Yobe
Zamfara,aEiSuHKxnES,NG_ZAMFARA,NIG12345678,18/08/2026,Zamfara
Osisioma Ngwa,sk7Cbg0M88D,LGA_OSISIOMA_NGWA,D4xxyXLfx89,18/08/2026,Osisioma Ngwa
Aba South,DPvbfRVsI4a,LGA_ABA_SOUTH,D4xxyXLfx89,18/08/2026,Aba South
Obi Ngwa,s5TC4K7cHFH,LGA_OBI_NGWA,D4xxyXLfx89,18/08/2026,Obi Ngwa
Isiala-Ngwa North,lmWtRsxMTtp,LGA_ISIALA-NGWA_NORTH,D4xxyXLfx89,18/08/2026,Isiala-Ngwa North
Isiala-Ngwa South,ZM3DOTqUU9d,LGA_ISIALA-NGWA_SOUTH,D4xxyXLfx89,18/08/2026,Isiala-Ngwa South
Ikwuano,w5Faww0R0Sp,LGA_IKWUANO,D4xxyXLfx89,18/08/2026,Ikwuano
Ugwunagbo,vk1vWmtMeC9,LGA_UGWUNAGBO,D4xxyXLfx89,18/08/2026,Ugwunagbo
Arochukwu,MQv7Y8lf9O5,LGA_AROCHUKWU,D4xxyXLfx89,18/08/2026,Arochukwu
Bende,hPDvxl3gZRw,LGA_BENDE,D4xxyXLfx89,18/08/2026,Bende
Umuahia North,NCXyrPdzLo2,LGA_UMUAHIA_NORTH,D4xxyXLfx89,18/08/2026,Umuahia North
Umuahia South,bFvn7FXAmKn,LGA_UMUAHIA_SOUTH,D4xxyXLfx89,18/08/2026,Umuahia South
Umunneochi,uZ4PXwqy4rd,LGA_UMUNNEOCHI,D4xxyXLfx89,18/08/2026,Umunneochi
Ukwa West,zJhzWVorBsO,LGA_UKWA_WEST,D4xxyXLfx89,18/08/2026,Ukwa West
Aba North,ApUhwzRzFmY,LGA_ABA_NORTH,D4xxyXLfx89,18/08/2026,Aba North
Ohafia,KVtHIX5pgJi,LGA_OHAFIA,D4xxyXLfx89,18/08/2026,Ohafia
Ukwa East,PpD5PfM3hKE,LGA_UKWA_EAST,D4xxyXLfx89,18/08/2026,Ukwa East
Isuikwuato,Eog9zVcbRzZ,LGA_ISUIKWUATO,D4xxyXLfx89,18/08/2026,Isuikwuato
Michika,WMbM17sbuSZ,LGA_MICHIKA,zF6h9yJgBlu,18/08/2026,Michika
Guyuk,yB6Gs5dN2SP,LGA_GUYUK,zF6h9yJgBlu,18/08/2026,Guyuk
Mubi North,UIZCVIRzutj,LGA_MUBI_NORTH,zF6h9yJgBlu,18/08/2026,Mubi North
Yola North,jIQmKETLkeU,LGA_YOLA_NORTH,zF6h9yJgBlu,18/08/2026,Yola North
Madagali,qH2lAU1KRkI,LGA_MADAGALI,zF6h9yJgBlu,18/08/2026,Madagali
Song,DgBp7dULJGZ,LGA_SONG,zF6h9yJgBlu,18/08/2026,Song
Gombi,dbfBTNlj4HL,LGA_GOMBI,zF6h9yJgBlu,18/08/2026,Gombi
Demsa,mKoJK9W1nTo,LGA_DEMSA,zF6h9yJgBlu,18/08/2026,Demsa
Lamurde,BdF2yI9Tj9j,LGA_LAMURDE,zF6h9yJgBlu,18/08/2026,Lamurde
Hong,XDbFTEYKgRM,LGA_HONG,zF6h9yJgBlu,18/08/2026,Hong
Numan,GUQNY1XxOlm,LGA_NUMAN,zF6h9yJgBlu,18/08/2026,Numan
Yola South,wLXnXrxnuTm,LGA_YOLA_SOUTH,zF6h9yJgBlu,18/08/2026,Yola South
Maiha,thYXFWZiE4j,LGA_MAIHA,zF6h9yJgBlu,18/08/2026,Maiha
Shelleng,cw0RJ3lKL1M,LGA_SHELLENG,zF6h9yJgBlu,18/08/2026,Shelleng
Mubi South,ET8BX4SxJYe,LGA_MUBI_SOUTH,zF6h9yJgBlu,18/08/2026,Mubi South
Ganye,K6xiYFuV6cP,LGA_GANYE,zF6h9yJgBlu,18/08/2026,Ganye
Toungo,WJRgk6r279W,LGA_TOUNGO,zF6h9yJgBlu,18/08/2026,Toungo
Girei,hxm9nwMYP3Z,LGA_GIREI,zF6h9yJgBlu,18/08/2026,Girei
Jada,ZPa8a82V0UN,LGA_JADA,zF6h9yJgBlu,18/08/2026,Jada
Fufore,l14HA6PvFPa,LGA_FUFORE,zF6h9yJgBlu,18/08/2026,Fufore
Mayo-Belwa,jUNOknpQf5C,LGA_MAYO-BELWA,zF6h9yJgBlu,18/08/2026,Mayo-Belwa
Obot Akara,cb0THILEQ5i,LGA_OBOT_AKARA,d7lOmr9TU0k,18/08/2026,Obot Akara
Mkpat Enin,JE0Wfw9lt4l,LGA_MKPAT_ENIN,d7lOmr9TU0k,18/08/2026,Mkpat Enin
Itu,k6Y1ImoqneT,LGA_ITU,d7lOmr9TU0k,18/08/2026,Itu
Uyo,DEIhBdL9B7h,LGA_UYO,d7lOmr9TU0k,18/08/2026,Uyo
Ini,YVKz1IBON90,LGA_INI,d7lOmr9TU0k,18/08/2026,Ini
Eastern Obolo,GOPNTwlH8pP,LGA_EASTERN_OBOLO,d7lOmr9TU0k,18/08/2026,Eastern Obolo
Ikono,mqblt5y8uPK,LGA_IKONO,d7lOmr9TU0k,18/08/2026,Ikono
